2025-04-28 14:26:27,747 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
2025-04-28 14:26:27,751 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/apache-webserver-setup : Download the Sury PHP keyring] **************************************************************************************
2025-04-28 14:26:28,299 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
2025-04-28 14:26:28,301 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/apache-webserver-setup : Install the Sury PHP keyring] ***************************************************************************************
2025-04-28 14:26:30,012 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
2025-04-28 14:26:30,015 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/apache-webserver-setup : Add Sury PHP repository] ********************************************************************************************
2025-04-28 14:26:30,388 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
2025-04-28 14:26:30,390 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/apache-webserver-setup : Install Apache and PHP packages] ************************************************************************************
2025-04-28 14:26:41,131 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=apache2)
2025-04-28 14:26:57,800 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=libapache2-mod-php)
2025-04-28 14:27:00,450 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=php8.4)
2025-04-28 14:27:01,964 p=102639 u=blizzar n=ansible INFO| ok: [zawarudo] => (item=php8.4-cli)
2025-04-28 14:27:05,826 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=php8.4-mysql)
2025-04-28 14:27:10,971 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=php8.4-xml)
2025-04-28 14:27:13,967 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=php8.4-mbstring)
2025-04-28 14:27:16,897 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=php8.4-curl)
2025-04-28 14:27:19,842 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo] => (item=php8.4-bcmath)
2025-04-28 14:27:19,854 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/apache-webserver-setup : Copy PHP test file] *************************************************************************************************
2025-04-28 14:27:20,598 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
2025-04-28 14:27:20,601 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/apache-webserver-setup : Remove default Apache index.html] ***********************************************************************************
2025-04-28 14:27:20,965 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
2025-04-28 14:27:20,967 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/apache-webserver-setup : Add DirectoryIndex to Apache default configuration] *****************************************************************
2025-04-28 14:27:21,303 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
2025-04-28 14:27:21,307 p=102639 u=blizzar n=ansible INFO| TASK [../../roles/apache-virtualhosts-setup : Create the virtual hosts root directory] *************************************************************************
2025-04-28 14:27:21,640 p=102639 u=blizzar n=ansible INFO| changed: [zawarudo]
